Title,URL,Date,Summary
Staying Motivated While Working Solo,http://ngauthier.com/2016/04/staying-motivated-solo.html,2016-04-25,""
Minimum Viable Project Management,http://ngauthier.com/2016/03/minimum-viable-project-management.html,2016-03-25,""
Interview Notes,http://ngauthier.com/2016/03/interview-notes.html,2016-03-21,""
Scraping the Web with Ruby,http://ngauthier.com/2014/06/scraping-the-web-with-ruby.html,2014-06-05,""
Using Docker to Parallelize Rails Tests,http://ngauthier.com/2013/10/using-docker-to-parallelize-rails-tests.html,2013-10-13,""
PostGIS and Rails: A Simple Approach,http://ngauthier.com/2013/08/postgis-and-rails-a-simple-approach.html,2013-08-18,""
Learning Angular on Rails,http://ngauthier.com/2013/04/learning-angular-on-rails.html,2013-04-29,""
Rails Controller Accessors,http://ngauthier.com/2013/04/rails-controller-accessors.html,2013-04-15,""
WebSockets in Rails 4,http://ngauthier.com/2013/03/websockets-in-rails-4.html,2013-03-12,""
Rails 4 Server Sent Events with ActionController::Live and PostgreSQL NOTIFY/LISTEN,http://ngauthier.com/2013/02/rails-4-sse-notify-listen.html,2013-02-19,""
Backbone Screencast 02 - Mixins,http://ngauthier.com/2013/02/backbone-screencast-2-mixins.html,2013-02-06,""
Backbone Screencast 01 - Booting your Application,http://ngauthier.com/2013/02/backbone-screencast-1.html,2013-02-06,""
Unsubscribe Links in Rails with ActiveSupport::MessageVerifier,http://ngauthier.com/2013/01/rails-unsubscribe-with-active-support-message-verifier.html,2013-01-08,""
Ruby on Rails on the Nexus 7,http://ngauthier.com/2012/11/ruby-on-rails-on-nexus.html,2012-11-28,""
Intro to Backbone.js,http://ngauthier.com/2012/09/intro-to-backbone-js.html,2012-09-27,""
One Click Development,http://ngauthier.com/2012/08/one-click-development.html,2012-08-15,""
RSpec with Domino,http://ngauthier.com/2012/05/rspec-with-domino.html,2012-05-08,""
var self = lame,http://ngauthier.com/2012/04/var-self-equals-lame.html,2012-04-11,""
Deploy Ruby as a Gem,http://ngauthier.com/2012/04/deploy-ruby-as-a-gem.html,2012-04-09,""
Raphael.js + Backbone.js + Traer.js,http://ngauthier.com/2012/02/raphael-backbone-traer.html,2012-02-23,""
Playing with Ember.js,http://ngauthier.com/2012/02/playing-with-ember.html,2012-02-19,""
Quick Ruby Tests with Bash,http://ngauthier.com/2012/02/quick-tests-with-bash.html,2012-02-16,""
Ruby and the Web,http://ngauthier.com/2012/02/ruby-and-the-web.html,2012-02-14,""
Simple ruby setup on ubuntu,http://ngauthier.com/2012/01/simple-ruby-on-ubuntu.html,2012-01-30,""
Galaxy Nexus First Impressions,http://ngauthier.com/2012/01/galaxy-nexus-first-impressions.html,2012-01-04,""
Open for Business,http://ngauthier.com/2012/01/open-for-business.html,2012-01-02,""
Recipes with Backbone Released!,http://ngauthier.com/2011/12/recipes-with-backbone-released.html,2011-12-07,""
