Movie Name,Critic,Rating
"
                                        
                                    ",A.O. Scott,rotten
"
                                        
                                    ",Mara Reinstein,rotten
"
                                        
                                    ",Alison Willmore,rotten
"
                                        
                                    ",Jake Coyle,rotten
"
                                        
                                    ",Jim Slotek,rotten
"
                                        
                                    ",Michael Phillips,rotten
"
                                        
                                    ",John Lui,rotten
"
                                        
                                    ",Leigh Paatsch,rotten
"
                                        
                                    ",Chris Newbould,rotten
"
                                        
                                    ",Kristy Puchko,rotten
"
                                        
                                    ",Poppy-Jay Palmer,rotten
"
                                        
                                    ",Simon Thompson,rotten
"
                                        Star Trek Beyond
                                        
                                            
                                                
                                                    94%
                                                
                                        
                                        
                                                Chris Pine,Zachary Quinto,Anton Yelchin,
                                        In Theaters Jul 22
                                        ",A.O. Scott,rotten
"
                                        Star Trek Beyond
                                        
                                            
                                                
                                                    94%
                                                
                                        
                                        
                                                Chris Pine,Zachary Quinto,Anton Yelchin,
                                        In Theaters Jul 22
                                        ",Mara Reinstein,rotten
"
                                        Star Trek Beyond
                                        
                                            
                                                
                                                    94%
                                                
                                        
                                        
                                                Chris Pine,Zachary Quinto,Anton Yelchin,
                                        In Theaters Jul 22
                                        ",Alison Willmore,rotten
"
                                        Star Trek Beyond
                                        
                                            
                                                
                                                    94%
                                                
                                        
                                        
                                                Chris Pine,Zachary Quinto,Anton Yelchin,
                                        In Theaters Jul 22
                                        ",Jake Coyle,rotten
"
                                        Star Trek Beyond
                                        
                                            
                                                
                                                    94%
                                                
                                        
                                        
                                                Chris Pine,Zachary Quinto,Anton Yelchin,
                                        In Theaters Jul 22
                                        ",Jim Slotek,rotten
"
                                        Star Trek Beyond
                                        
                                            
                                                
                                                    94%
                                                
                                        
                                        
                                                Chris Pine,Zachary Quinto,Anton Yelchin,
                                        In Theaters Jul 22
                                        ",Michael Phillips,rotten
"
                                        Star Trek Beyond
                                        
                                            
                                                
                                                    94%
                                                
                                        
                                        
                                                Chris Pine,Zachary Quinto,Anton Yelchin,
                                        In Theaters Jul 22
                                        ",John Lui,rotten
"
                                        Star Trek Beyond
                                        
                                            
                                                
                                                    94%
                                                
                                        
                                        
                                                Chris Pine,Zachary Quinto,Anton Yelchin,
                                        In Theaters Jul 22
                                        ",Leigh Paatsch,rotten
"
                                        Star Trek Beyond
                                        
                                            
                                                
                                                    94%
                                                
                                        
                                        
                                                Chris Pine,Zachary Quinto,Anton Yelchin,
                                        In Theaters Jul 22
                                        ",Chris Newbould,rotten
"
                                        Star Trek Beyond
                                        
                                            
                                                
                                                    94%
                                                
                                        
                                        
                                                Chris Pine,Zachary Quinto,Anton Yelchin,
                                        In Theaters Jul 22
                                        ",Kristy Puchko,rotten
"
                                        Star Trek Beyond
                                        
                                            
                                                
                                                    94%
                                                
                                        
                                        
                                                Chris Pine,Zachary Quinto,Anton Yelchin,
                                        In Theaters Jul 22
                                        ",Poppy-Jay Palmer,rotten
"
                                        Star Trek Beyond
                                        
                                            
                                                
                                                    94%
                                                
                                        
                                        
                                                Chris Pine,Zachary Quinto,Anton Yelchin,
                                        In Theaters Jul 22
                                        ",Simon Thompson,rotten
"
                                        
                                    ",Raakhee Mirchandani,rotten
"
                                        
                                    ",Susan Wloszczyna,rotten
"
                                        
                                    ",Tom Huddleston,rotten
"
                                        
                                    ",Michael Rechtshaffen,rotten
"
                                        
                                    ",Owen Gleiberman,rotten
"
                                        
                                    ",Alonso Duralde,rotten
"
                                        
                                    ",Peter Canavese,rotten
"
                                        
                                    ",Shirley Sealy,rotten
"
                                        
                                    ",Anthony Salveggi,rotten
"
                                        
                                    ",Jordi Costa,rotten
"
                                        
                                    ",Sarah McIntyre,rotten
"
                                        
                                    ",Odie Henderson,rotten
"
                                        Ice Age: Collision Course
                                        
                                            
                                                
                                                    15%
                                                
                                        
                                        
                                                Ray Romano,John Leguizamo,Denis Leary,
                                        In Theaters Jul 22
                                        ",Raakhee Mirchandani,rotten
"
                                        Ice Age: Collision Course
                                        
                                            
                                                
                                                    15%
                                                
                                        
                                        
                                                Ray Romano,John Leguizamo,Denis Leary,
                                        In Theaters Jul 22
                                        ",Susan Wloszczyna,rotten
"
                                        Ice Age: Collision Course
                                        
                                            
                                                
                                                    15%
                                                
                                        
                                        
                                                Ray Romano,John Leguizamo,Denis Leary,
                                        In Theaters Jul 22
                                        ",Tom Huddleston,rotten
"
                                        Ice Age: Collision Course
                                        
                                            
                                                
                                                    15%
                                                
                                        
                                        
                                                Ray Romano,John Leguizamo,Denis Leary,
                                        In Theaters Jul 22
                                        ",Michael Rechtshaffen,rotten
"
                                        Ice Age: Collision Course
                                        
                                            
                                                
                                                    15%
                                                
                                        
                                        
                                                Ray Romano,John Leguizamo,Denis Leary,
                                        In Theaters Jul 22
                                        ",Owen Gleiberman,rotten
"
                                        Ice Age: Collision Course
                                        
                                            
                                                
                                                    15%
                                                
                                        
                                        
                                                Ray Romano,John Leguizamo,Denis Leary,
                                        In Theaters Jul 22
                                        ",Alonso Duralde,rotten
"
                                        Ice Age: Collision Course
                                        
                                            
                                                
                                                    15%
                                                
                                        
                                        
                                                Ray Romano,John Leguizamo,Denis Leary,
                                        In Theaters Jul 22
                                        ",Peter Canavese,rotten
"
                                        Ice Age: Collision Course
                                        
                                            
                                                
                                                    15%
                                                
                                        
                                        
                                                Ray Romano,John Leguizamo,Denis Leary,
                                        In Theaters Jul 22
                                        ",Shirley Sealy,rotten
"
                                        Ice Age: Collision Course
                                        
                                            
                                                
                                                    15%
                                                
                                        
                                        
                                                Ray Romano,John Leguizamo,Denis Leary,
                                        In Theaters Jul 22
                                        ",Anthony Salveggi,rotten
"
                                        Ice Age: Collision Course
                                        
                                            
                                                
                                                    15%
                                                
                                        
                                        
                                                Ray Romano,John Leguizamo,Denis Leary,
                                        In Theaters Jul 22
                                        ",Jordi Costa,rotten
"
                                        Ice Age: Collision Course
                                        
                                            
                                                
                                                    15%
                                                
                                        
                                        
                                                Ray Romano,John Leguizamo,Denis Leary,
                                        In Theaters Jul 22
                                        ",Sarah McIntyre,rotten
"
                                        Ice Age: Collision Course
                                        
                                            
                                                
                                                    15%
                                                
                                        
                                        
                                                Ray Romano,John Leguizamo,Denis Leary,
                                        In Theaters Jul 22
                                        ",Odie Henderson,rotten
"
                                        
                                    ",Katie Walsh,rotten
"
                                        
                                    ",Michael Phillips,rotten
"
                                        
                                    ",April Wolfe,rotten
"
                                        
                                    ",Edward Douglas,rotten
"
                                        
                                    ",Justin Lowe,rotten
"
                                        
                                    ",Robert Abele,rotten
"
                                        
                                    ",Rick Bentley,rotten
"
                                        
                                    ",Leigh Paatsch,rotten
"
                                        
                                    ",Matt Prigge,rotten
"
                                        
                                    ",Anthony O'Connor,rotten
"
                                        
                                    ",Matt Donato,rotten
"
                                        
                                    ",Jordan Hoffman,rotten
"
                                        Lights Out
                                        
                                            
                                                
                                                    95%
                                                
                                        
                                        
                                                Teresa Palmer,Gabriel Bateman,Alexander DiPersia,
                                        In Theaters Jul 22
                                        ",Katie Walsh,rotten
"
                                        Lights Out
                                        
                                            
                                                
                                                    95%
                                                
                                        
                                        
                                                Teresa Palmer,Gabriel Bateman,Alexander DiPersia,
                                        In Theaters Jul 22
                                        ",Michael Phillips,rotten
"
                                        Lights Out
                                        
                                            
                                                
                                                    95%
                                                
                                        
                                        
                                                Teresa Palmer,Gabriel Bateman,Alexander DiPersia,
                                        In Theaters Jul 22
                                        ",April Wolfe,rotten
"
                                        Lights Out
                                        
                                            
                                                
                                                    95%
                                                
                                        
                                        
                                                Teresa Palmer,Gabriel Bateman,Alexander DiPersia,
                                        In Theaters Jul 22
                                        ",Edward Douglas,rotten
"
                                        Lights Out
                                        
                                            
                                                
                                                    95%
                                                
                                        
                                        
                                                Teresa Palmer,Gabriel Bateman,Alexander DiPersia,
                                        In Theaters Jul 22
                                        ",Justin Lowe,rotten
"
                                        Lights Out
                                        
                                            
                                                
                                                    95%
                                                
                                        
                                        
                                                Teresa Palmer,Gabriel Bateman,Alexander DiPersia,
                                        In Theaters Jul 22
                                        ",Robert Abele,rotten
"
                                        Lights Out
                                        
                                            
                                                
                                                    95%
                                                
                                        
                                        
                                                Teresa Palmer,Gabriel Bateman,Alexander DiPersia,
                                        In Theaters Jul 22
                                        ",Rick Bentley,rotten
"
                                        Lights Out
                                        
                                            
                                                
                                                    95%
                                                
                                        
                                        
                                                Teresa Palmer,Gabriel Bateman,Alexander DiPersia,
                                        In Theaters Jul 22
                                        ",Leigh Paatsch,rotten
"
                                        Lights Out
                                        
                                            
                                                
                                                    95%
                                                
                                        
                                        
                                                Teresa Palmer,Gabriel Bateman,Alexander DiPersia,
                                        In Theaters Jul 22
                                        ",Matt Prigge,rotten
"
                                        Lights Out
                                        
                                            
                                                
                                                    95%
                                                
                                        
                                        
                                                Teresa Palmer,Gabriel Bateman,Alexander DiPersia,
                                        In Theaters Jul 22
                                        ",Anthony O'Connor,rotten
"
                                        Lights Out
                                        
                                            
                                                
                                                    95%
                                                
                                        
                                        
                                                Teresa Palmer,Gabriel Bateman,Alexander DiPersia,
                                        In Theaters Jul 22
                                        ",Matt Donato,rotten
"
                                        Lights Out
                                        
                                            
                                                
                                                    95%
                                                
                                        
                                        
                                                Teresa Palmer,Gabriel Bateman,Alexander DiPersia,
                                        In Theaters Jul 22
                                        ",Jordan Hoffman,rotten
"
                                        
                                    ",Katie Walsh,rotten
"
                                        
                                    ",Joe Dziemianowicz,rotten
